taxname,cpd,cpd.name
Butyricimonas,C00246,butyrate
Odoribacter,C00246,butyrate
Agathobacter,C00246,butyrate
Anaerobutyricum,C00246,butyrate
Eubacterium ventriosum,C00246,butyrate
Anaerostipes,C00246,butyrate
Butyrivibrio,C00246,butyrate
Coprococcus,C00246,butyrate
Roseburia,C00246,butyrate
Shuttleworthia,C00246,butyrate
Butyricicoccus,C00246,butyrate
Faecalibacterium,C00246,butyrate
Flavonifractor,C00246,butyrate
Pseudoflavonifractor,C00246,butyrate
Oscillibacter,C00246,butyrate
Subdoligranulum,C00246,butyrate
